centre_code,centre_name,incidental_charges,frequency,amount
EB0001,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Deposit",Ad-hoc,720.00
EB0001,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Insurance(Optional)",Annually,3.21
EB0001,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Uniform",Ad-hoc,37.00
EB0001,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Deposit",Ad-hoc,900.00
EB0001,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Deposit",Ad-hoc,1080.00
EB0001,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Registration Fee",Ad-hoc,85.60
EB0002,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Deposit",Ad-hoc,720.00
EB0002,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Registration Fee",Ad-hoc,85.60
EB0002,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Insurance(Optional)",Annually,3.21
EB0002,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Uniform",Ad-hoc,37.00
EB0003,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Insurance(Optional)",Annually,3.21
EB0003,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Deposit",Ad-hoc,900.00
EB0003,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Deposit",Ad-hoc,1080.00
EB0003,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Deposit",Ad-hoc,1275.00
EB0003,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Deposit",Ad-hoc,1593.75
EB0003,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Deposit",Ad-hoc,1912.50
EB0003,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Deposit",Ad-hoc,720.00
EB0003,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Registration Fee",Ad-hoc,107.00
EB0004,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Deposit",Ad-hoc,720.00
EB0004,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Deposit",Ad-hoc,1275.00
EB0004,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Insurance(Optional)",Ad-hoc,3.21
EB0004,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Uniform",Ad-hoc,37.00
EB0004,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Uniform",Ad-hoc,33.00
EB0004,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Registration Fee",Ad-hoc,214.00
EB0005,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Insurance(Optional)",Annually,3.21
EB0005,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Registration Fee",Ad-hoc,85.60
EB0005,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Deposit",Ad-hoc,720.00
EB0005,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Deposit",Ad-hoc,900.00
EB0005,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Deposit",Ad-hoc,1080.00
EB0005,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Deposit",Ad-hoc,1275.00
EB0005,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Deposit",Ad-hoc,1593.75
EB0005,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Deposit",Ad-hoc,1912.50
EB0005,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Uniform",Ad-hoc,37.00
EB0005,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Uniform",Ad-hoc,33.00
EB0006,"E-BRIDGE PRE-SCHOOL PTE. LTD.","Deposit",Ad-hoc,770.40
